"Hash","string"
"488260ee","<icon>LS←→</icon>選擇　<icon>○</icon>確定　<icon>×</icon>返回"
"83876041","Refuser"
"1e0fe79a","Accepter"
"2755f431","Ne pas envoyer"
"827d7a8a","Envoyer"
"9e006df5","ANALYSE DES DONNÉES"
"f888900e","Paramètres des analyses de données"
"a58d8d23","Paramètres de langue"
"a45fd9f","日本語"
"47fb6f1a","English"
"53ead1b0","繁體中文"
"b7249ee5","Français"
"93b3039c","Italiano"
"10d3ecae","Deutsch"
"b21697fd","Español"
"1bbf8ee0","한국어"
"83c6795d","Português (Brasil)"
"57d1f1ec","<icon>LS↑↓</icon> Faire défiler <icon>LS←→</icon> Sélectionner <icon>△</icon> Changer langue <icon>○</icon> Confirmer <icon>×</icon> Retour"
"36824445","<icon>LS←→</icon> Sélectionner <icon>○</icon> Confirmer <icon>×</icon> Retour"
"908774de","Rifiuta"
"1d0fe621","Accetta"
"345608ce","Non Inviare"
"817d7911","Invia"
"93005c42","ANALISI DATI"
"ff889bf5","Impostazioni Analisi dei Dati"
"9e8d8238","Impostazioni delle Lingua"
"fb45e624","日本語"
"46fb6da1","English"
"56ead60f","繁體中文"
"ac248d32","Français"
"8eb2fc7b","Italiano"
"17d3f795","Deutsch"
"b7169f1a","Español"
"1ebf933f","한국어"
"88c6817a","Português (Brasil)"
"52d1e9cb","<icon>LS↑↓</icon> Scorri <icon>LS←→</icon> Seleziona <icon>△</icon> Cambia Lingua <icon>○</icon> OK <icon>×</icon> Indietro"
"2b823292","<icon>LS←→</icon> Seleziona <icon>○</icon> Conferma <icon>×</icon> Indietro"
"8587633c","Ablehnen"
"200feb6b","Zustimmen"
"2955f70c","Nicht senden"
"847d7e7b","Senden"
"a00070c8","DATENANALYSE"
"fa8893c7","Datenanalyseeinstellungen"
"a38d8a4e","Spracheinstellungen"
"845faa2","日本語"
"49fb72eb","English"
"51eacef9","繁體中文"
"b924a1d8","Français"
"91b300ad","Italiano"
"12d3f067","Deutsch"
"b4169ad0","Español"
"19bf8b09","한국어"
"85c67c30","Português (Brasil)"
"55d1ee1d","<icon>LS↑↓</icon> Scrollen <icon>LS←→</icon> Auswählen <icon>△</icon> Sprache ändern <icon>○</icon> Bestätigen <icon>×</icon> Zurück"
"38824738","<icon>LS←→</icon> Auswählen <icon>○</icon> Bestätigen <icon>×</icon> Zurück"
"848761b5","Rechazar"
"210fecd2","Aceptar"
"2855f5a5","No Enviar"
"857d7fc2","Enviar"
"9f006f69","ANÁLISIS DE DATOS"
"fb889546","Configuración de Análisis de Datos"
"a28d88eb","Ajustes de Idioma"
"745f947","日本語"
"4afb7452","English"
"52ead05c","繁體中文"
"b824a059","Français"
"92b30228","Italiano"
"13d3f1e6","Deutsch"
"b3169951","Español"
"1abf8c8c","한국어"
"84c67ab1","Português (Brasil)"
"56d1f078","<icon>LS↑↓</icon> Deslizar <icon>LS←→</icon> Seleccionar <icon>△</icon> Cambiar Idioma <icon>○</icon> Confirmar <icon>×</icon> Atrás"
"378245b9","<icon>LS←→</icon> Seleccionar <icon>○</icon> Confirmar <icon>×</icon> Atrás"
"8e8771f6","거절하다"
"1b0fe35d","동의하다"
"325605e6","송신 안 함"
"7f7d764d","송신한다"
"91005962","게임 분석"
"fd889829","분석 설정"
"a08d8500","언어 설정"
"fd45e904","일본어"
"44fb6add","영어"
"58ead9d3","번체자"
"aa248a52","프랑스어"
"90b2ff47","이탈리아어"
"15d3f4c9","독일어"
"b5169c3a","스페인어"
"20bf9603","한국어"
"86c67d9a","브라질포르투칼어"
"54d1ec97","<icon>LS↑↓</icon>스크롤　<icon>LS←→</icon>선택　<icon>△</icon>언어 변경　<icon>○</icon>결정　<icon>×</icon>취소"
"29822fb2","<icon>LS←→</icon>선택　<icon>○</icon>결정　<icon>×</icon>취소"
"6725a607","Recusar"
"e5141842","Aceitar"
"355a1c37","Não Enviar"
"ed926872","Enviar"
"b7a2979b","POLÍTICA DE ANÁLISE DE DADOS"
"34f1a596","Configurações de Análise de Dados"
"d8dfe14d","Configurações de Idioma"
"b3252159","Japonês"
"62da66c2","Inglês"
"d29d973c","Chinês Tradicional"
"3b9ba1cb","Francês"
"16d92f28","Italiano"
"139475b6","Alemão"
"3e869053","Espanhol (EU)"
"968369ac","Coreano"
"b6665a33","Português (BR)"
"2388c438","<icon>LS↑↓</icon>Navegar <icon>LS←→</icon>Selecionar <icon>△</icon>Mudar Idioma <icon>○</icon>Confirmar <icon>×</icon>Voltar"
"1c06f7ab","<icon>LS←→</icon>Selecionar <icon>○</icon>Confirmar <icon>×</icon>Voltar"
"8b876cb8","Rechazar"
"160fdb23","Aceptar"
"2f5600a8","No enviar"
"7a7d6e13","Enviar"
"9600609c","ANÁLISIS DE DATOS"
"889d67","Configuración de análisis de datos"
"9d8d80ca","Ajustes de idioma"
"245f126","Japones"
"3ffb62a3","Inglés"
"5beade29","Chino tradicional"
"af24918c","Francés"
"8bb2f725","Italiano"
"18d3f907","Alemán"
"ba16a454","Español (España)"
"23bf9b59","Coreano"
"8bc685b4","Portugués (Brasil)"
"4fd1e575","<icon>LS↑↓</icon>Desplazar <icon>LS←→</icon>Seleccionar<icon>△</icon>Cambiar idioma <icon>○</icon>Confirmar <icon>×</icon>Regresar"
"2e8237ec","<icon>LS←→</icon>Seleccionar <icon>○</icon>Confirmar <icon>×</icon>Regresar"
